x0001,y0001
-0.8333333333,-0.0009854886
-0.8323529412,-0.0010377386
-0.8313725490,-0.0010855185
-0.8303921569,-0.0011332912
-0.8294117647,-0.0011862776
-0.8284313725,-0.001249095
-0.8274509804,-0.0013245457
-0.8264705882,-0.001412838
-0.8254901961,-0.0015114183
-0.8245098039,-0.001615471
-0.8235294118,-0.0017189827
-0.8225490196,-0.0018161245
-0.8215686275,-0.0019026324
-0.8205882353,-0.001976842
-0.8196078431,-0.0020401026
-0.818627451,-0.002096439
-0.8176470588,-0.0021515007
-0.8166666667,-0.002211008
-0.8156862745,-0.0022790611
-0.8147058824,-0.0023567025
-0.8137254902,-0.0024411096
-0.8127450980,-0.002525658
-0.8117647059,-0.0026008845
-0.8107843137,-0.0026562042
-0.8098039216,-0.0026820267
-0.8088235294,-0.0026718322
-0.8078431373,-0.0026237525
-0.8068627451,-0.0025412985
-0.8058823529,-0.002433063
-0.8049019608,-0.0023114204
-0.8039215686,-0.0021904744
-0.8029411765,-0.0020836347
-0.8019607843,-0.0020013037
-0.8009803922,-0.0019491038
-0.8,-0.0019269796
-0.7990196078,-0.0019293397
-0.7980392157,-0.0019462039
-0.7970588235,-0.0019651314
-0.7960784314,-0.0019735757
-0.7950980392,-0.001961246
-0.7941176471,-0.0019220432
-0.7931372549,-0.0018552431
-0.7921568627,-0.001765719
-0.7911764706,-0.0016631745
-0.7901960784,-0.0015605266
-0.7892156863,-0.001471717
-0.7882352941,-0.0014093373
-0.787254902,-0.0013824694
-0.7862745098,-0.0013951019
-0.7852941176,-0.0014453904
-0.7843137255,-0.0015258786
-0.7833333333,-0.0016246265
-0.7823529412,-0.0017270604
-0.7813725490,-0.001818217
-0.7803921569,-0.0018850152
-0.7794117647,-0.001918168
-0.7784313725,-0.0019134319
-0.7774509804,-0.0018720016
-0.7764705882,-0.0018000045
-0.7754901961,-0.001707222
-0.7745098039,-0.0016052797
-0.7735294118,-0.0015056536
-0.7725490196,-0.0014178439
-0.7715686275,-0.0013480356
-0.7705882353,-0.0012984552
-0.7696078431,-0.0012674906
-0.768627451,-0.0012504976
-0.7676470588,-0.001241095
-0.7666666667,-0.0012326549
-0.7656862745,-0.0012196945
-0.7647058824,-0.0011988978
-0.7637254902,-0.0011695958
-0.7627450980,-0.0011336363
-0.7617647059,-0.0010947166
-0.7607843137,-0.0010573418
-0.7598039216,-0.0010256545
-0.7588235294,-0.0010023941
-0.7578431373,-0.0009882284
-0.7568627451,-0.00098161
-0.7558823529,-0.00097922
-0.7549019608,-0.0009769216
-0.7539215686,-0.0009710393
-0.7529411765,-0.000959697
-0.7519607843,-0.0009438925
-0.7509803922,-0.000928034
-0.75,-0.0009197146
-0.7490196078,-0.0009286689
-0.7480392157,-0.0009650003
-0.7470588235,-0.0010369528
-0.7460784314,-0.001148636
-0.7450980392,-0.0012981805
-0.7441176471,-0.0014767866
-0.7431372549,-0.0016690026
-0.7421568627,-0.0018543618
-0.7411764706,-0.0020102293
-0.7401960784,-0.0021154536
-0.7392156863,-0.0021541868
-0.7382352941,-0.002119145
-0.737254902,-0.0020136023
-0.7362745098,-0.0018516296
-0.7352941176,-0.0016563749
-0.7343137255,-0.0014565827
-0.7333333333,-0.0012819238
-0.7323529412,-0.0011579612
-0.7313725490,-0.0011017176
-0.7303921569,-0.0011187166
-0.7294117647,-0.0012021188
-0.7284313725,-0.001334149
-0.7274509804,-0.0014895697
-0.7264705882,-0.0016405166
-0.7254901961,-0.0017617312
-0.7245098039,-0.0018351389
-0.7235294118,-0.0018528552
-0.7225490196,-0.0018180426
-0.7215686275,-0.0017435018
-0.7205882353,-0.0016483661
-0.7196078431,-0.0015536675
-0.718627451,-0.0014777741
-0.7176470588,-0.0014326877
-0.7166666667,-0.0014219715
-0.7156862745,-0.0014406897
-0.7147058824,-0.00147726
-0.7137254902,-0.00151671
-0.7127450980,-0.0015445071
-0.7117647059,-0.0015500559
-0.7107843137,-0.0015290722
-0.7098039216,-0.0014843364
-0.7088235294,-0.0014247464
-0.7078431373,-0.0013629772
-0.7068627451,-0.0013123859
-0.7058823529,-0.0012839198
-0.7049019608,-0.0012837583
-0.7039215686,-0.0013121924
-0.7029411765,-0.0013639277
-0.7019607843,-0.0014296407
-0.7009803922,-0.001498338
-0.7,-0.0015599073
-0.6990196078,-0.0016072431
-0.6980392157,-0.0016374736
-0.6970588235,-0.0016520672
-0.6960784314,-0.0016558805
-0.6950980392,-0.0016554487
-0.6941176471,-0.0016570092
-0.6931372549,-0.0016647519
-0.6921568627,-0.0016797264
-0.6911764706,-0.0016996503
-0.6901960784,-0.0017196225
-0.6892156863,-0.0017335251
-0.6882352941,-0.0017357535
-0.687254902,-0.0017228151
-0.6862745098,-0.0016944155
